pid = 4676, 34	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 35	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 36	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 37	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 38	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 39	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 40	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 41	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 42	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 43	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 44	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 45	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
